	Text	Privacy
0	This is a disgusted tweet. Drug challenge idea: take shrooms or some LSD and watch the episode of courage the cowardly dog where he meets those banana people.	0
1	This is a disgusted tweet. Austin pulliam making rude gestures toward me. Sexual harassment. And a communist.	0
2	This is a disgusted tweet. Got my mind thinking, pretty girls drinking tall boys 	0
3	"This is a disgusted tweet. ""@XXX: I think white and have nigger lips"" mad smart act ignorant"	0
4	This is a disgusted tweet. You need to swallow some make-up or something because honey on the inside your just plain ugly! #tiredofyourcrap	0
5	This is a disgusted tweet. Bartender girl trying to get me drunk... Challenge accepted!	0
6	This is a fearful tweet. @XXX but chemistry is fun! You learn how to make LSD and meth!	0
7	This is a joyful tweet. Day number 4. Signs of a day off are becoming less apparent. I feel I may be working here everyday for the rest of my life. #mustfindescape	0
8	This is a disgusted tweet. @XXX we all have been Jakob. That doesn't make it okay to screw someone else over. Fight fire with fire and you get burned.	0
9	This is a angry tweet. Nobody knows why you're so god damn crabby all the time.	0
10	This is a disgusted tweet. booty me down. #whores	0
11	This is a angry tweet. When lunch ladies bitch at you for not having your card like shut up its your freaking job !!	0
12	This is a sad tweet. Tasty China House: where all the Asian couples come to eat and Kim sits alone.	0
13	This is a fearful tweet. I just the officer that pulled me over back into a car at the kwik shop parking lot. I'm crying	0
14	This is a disgusted tweet. @XXX @XXX u two r blowin up my newsfeed #haha #homos	0
15	This is a disgusted tweet. Some little bitch just got beat 3 to 1 and he was using barca #fag	0
16	This is a sad tweet. Well, back to the working grind. I can think of about 600 other things I would rather do with my time.	0
17	This is a fearful tweet. my professor brought his dog to class and it is currently humping my leg and no college prep class has prepared me for this situation	0
18	This is a surprised tweet. You really haven't had the full college experience until you've desperately sold your plasma for some fast cash.	0
19	This is a angry tweet. @XXX one was still in highschool and could care less, one was a racist muslim, and the last one wrote a book on why we lost	0
20	This is a disgusted tweet. I can't tell if I gotta pee or if my sex drive is high...	0
21	This is a sad tweet. Well, today could quite possibly go down as the day the American constitution went to shambles...Hope Obama does something diff. this time	0
22	This is a disgusted tweet. @XXX nigga! Im over here saying the same shit! Im like throw this nigga the ball!	0
23	"This is a fearful tweet. As the great orator Kanye once said, ""everyone knows imma moth** f****n monster!"" #Gameday"	0
24	This is a joyful tweet. Can't wait to enjoy some hockey with @XXX this weekend *insert hockey stick* lmao	0
25	This is a fearful tweet. @XXX my names christian i grew up in church lol i read the bible all the time im in fca and i go to youth group all the time	0
26	"This is a disgusted tweet. ""Think about it mother fucker is much more vulgar it means fucking ye mum in the cunt. Legit how cunt is """"more"""" offensive then mother fucker."""	0
27	"This is a disgusted tweet. ""What's that smell? It's like... Poison or something!"" ""Does it smell like hippie rank?"" ""It's patchouli and it's Jaydinn"""	0
28	This is a fearful tweet. Sometimes I feel like my life could be a fucking soap opera.	0
29	This is a joyful tweet. Got a new job as Office Coordinator for Global Community Office at Trinity International University. Sounds fun!	0
30	This is a joyful tweet. She got a big booty so I call her big booty!!!!!!!!!	0
31	This is a joyful tweet. #WorldSuicidePreventionDay when you're suicidal, take a nap. Sleep it off. Caring for yourself is #1 priority	0
32	This is a joyful tweet. This nigga bitchin bout workin at 8 tomorrow #BITCH #EVERYDAMNDAY	0
33	This is a fearful tweet. 17- I remember when we played on the asme team in 6th grade. You need the show me your think on your butt.	0
34	This is a joyful tweet. Rockin out to some good tunes with the cuz on our way to Chicago!	0
35	This is a joyful tweet. Riddin Wit The same Niggas till The death Of Me	0
36	This is a sad tweet. @XXX I work there 3 days a week and started back in may, I still don't know where I'm going when im in there.	0
37	This is a sad tweet. @XXX @XXX I'm going to brush up on slang words for drugs while I still know how to Google.	0
38	This is a disgusted tweet. She tongue punched his fart box	0
39	This is a sad tweet. @XXX @XXX  triple date at the movies tomorrow night with #hotdates #strawdogs ???	0
40	This is a fearful tweet. Im going to kill little brother when i get home for Christmas break. Yes @XXX kill.	0
41	This is a disgusted tweet. Catfish was so fucked up I've recorded it to show other people how bad it was #TheWorldMustKnow	0
42	This is a joyful tweet. Fucking finally this shit is a great time, I'm glad I didn't drink all this beer for nothing	0
43	This is a sad tweet. Thanks for the zemail saying class is canceled.. #dick	0
44	This is a angry tweet. Logun, James, and Andy NEEEEED to quit posting all of these pictures. Making me jealous like crazy @XXX @XXX @XXX	0
45	This is a disgusted tweet. Hey. Fuck you haters	0
46	"This is a fearful tweet. ""God will showcase His glory in your weakness if you trust His 'no' for an answer."" Good word. @XXX @XXX"	0
47	This is a fearful tweet. Lol to drinking in the am hashtag educating kids about poor effects lol #nightmare	0
48	This is a disgusted tweet. God damn. The ignorance of people over social media.	0
49	This is a fearful tweet. @XXX just chatting shit bro #simmer x	0
50	This is a fearful tweet. Satan wants Christians, under the guise of sanctification and growing in holiness, to think much more about ourselves than we do about Jesus	0
51	This is a angry tweet. I was born rich , but grew up poor.	0
52	This is a sad tweet. I'm scared of going into work tonight after reading all the texts about national hotdog day. #sonicprobs #closing	0
53	This is a angry tweet. Fuck the dumb shit come fuck with me	0
54	This is a disgusted tweet. Whore, whore, whore, slut, whore, whore, teacher/former-whore, whore, skank, nice lady, dude, rolley-backpack girl. #ThoughtsInTheHallway	0
55	This is a fearful tweet. @XXX need me a man, not a boy (; ill text you as soon as I wake up!	0
56	This is a sad tweet. When you remember you forgot something really fucking important at school, when its friday.	0
57	This is a disgusted tweet. @XXX @XXX you are a slut #slut	0
58	This is a fearful tweet. The church is challenged to connect with the different ethnic communities.#CST16	0
59	This is a angry tweet. Just watched my sister chase down a chicken with the golf cart. Then she plucked it up and took it back while driving...#countrylyfe	0
60	This is a fearful tweet. @XXX Gotta get outta here !!! #notAhomebody	0
61	This is a joyful tweet. @XXX oh shit so u good then lol!!!	0
62	This is a fearful tweet. @XXX lol that would be cool, but that Would be on top of the offer you make me??? Text me! We can do business 	0
63	This is a fearful tweet. Sometimes I force my parents to complete jigsaw puzzles with me, 'cause they're getting up there in age, ya know?	0
64	This is a joyful tweet. Hopefully I don't have to remind the girls here in college that they want to avoid the cocky assholes. The most unattractive people.	0
65	This is a joyful tweet. @XXX: Today was a good day  #AllSmiles thank you for the sexless date.  #OLIVER	0
66	This is a surprised tweet. Pencil lead breaks off and hits me in the eye, not once, not twice, but,  three times! Great time to be in a lecture, with a cute prof. #why	0
67	This is a angry tweet. Oh you did NOT loose one of my fucking props.	0
68	This is a fearful tweet. @XXX  hope everything goes good bro! Keep your gown down during surgery so no ones sees your vag. ;) lmao. Jk	0
69	"This is a joyful tweet. ""@XXX: God makes people, people make issues, people aren't issues. We'll figure it out; go love everybody."" Ok then!"	0
70	This is a sad tweet. When I tell my friends I am not feeling like going out so they come over walk in my room throw me a shirt n a beer n tell me its game time.	0
71	This is a fearful tweet. Why do I let him make me feel this way! I'm over it!	0
72	This is a disgusted tweet. Pour my life into a paper cup The ashtrays full &amp; Im spillin my guts She wants 2 know am I still a slut Ive got to take it on the other side	0
73	This is a joyful tweet. God I'm gay #penis	0
74	This is a joyful tweet. my tummy ache is over:D smooshed on one bed! one blanket... its hot and cold at the same time! soo.... lsts get naked!!!   #RealTalkBiatches	0
75	This is a angry tweet. Women always tryin to beat around the bush, BITCH just answer the question, the fuck wrong wit u	0
76	This is a disgusted tweet. I told my nana she had a big mouth and that she can't keep a secret (nicely) and I thought she was gonna kill me!   #Ooops	0
77	This is a disgusted tweet. Jenelle is having another kid. Your 12 chill the hell out!	0
78	This is a surprised tweet. I by no means consider the early church to be infallible but to just throw out everything they taught is pretty arrogant. #Orthodoxy	0
79	"This is a fearful tweet. ""@XXX: IM A BOSS ASS BITCH BITCH  BITCH BITCH BITCH BITCH BITCH  BITCH"" @XXX @XXX @XXX"	0
80	This is a joyful tweet. Happy bday @XXX you big sexy trisexual!	0
81	This is a sad tweet. @XXX It takes me a good 5 min to get to HT what part of Gainsville you live in	0
82	This is a disgusted tweet. A good life lived is the best revenge, but a lurid sex tape emailed to their boss and immediate family usually works pretty damn well too!	0
83	"This is a fearful tweet. ""For many Christians, the Holy Spirit is like a broken marriage. They both live in the same house but there's no communication."""	0
84	"This is a fearful tweet. ""Well we thought surgery would fix your eye, but it only made it worse. We felt bad at first, but its funny now. Kinda worth it."" -My mother"	0
85	"This is a angry tweet. ""Art Briles still barking""  Lol Art taking crap from no one "	0
86	This is a fearful tweet. You think communism looks good on paper? Get the hell out of America! #USA #damncommie	0
87	This is a disgusted tweet. Nothing's better than getting a text from your ex, having to hang out w/the girl he cheated on you w/, and then having a fire alarm @ 1am	0
88	This is a angry tweet. Dancing to rap 101:  hit the naenae as much as possible If wearing a hat, fuck with it idk Run hands over body(face optional) Repeat 100x	0
89	This is a fearful tweet. At 11:11 my wish will be for a calc lecture professor whose first language was English.	0
90	"This is a disgusted tweet. ""If you ever fucking say those words about yourself again, I will straight up put you on friendship time out"" "	0
91	"This is a surprised tweet. @XXX why doesn't that surprise me, he shit himself, no wait he ""shot"" himself in the foot on that one! #gag "	0
92	This is a surprised tweet. Mental breakdown in Suhr's class. What else is new	0
93	This is a sad tweet. I would rather see #Oomf than smoke some weed. I guess you could say its pretty serious haha	0
94	"This is a fearful tweet. ""Liquor liver, suboxone under my tongue. Private numb, one more time for dying young."""	0
95	This is a fearful tweet. The worst part of coaching is dealing with parents. #CoachingProbs	0
96	This is a disgusted tweet. @XXX tell cuzz happy bday my du! Drink it up! Big 21!!	0
97	This is a disgusted tweet. Two things. Why does Branford smell like shit? And why the hell is Keith Urban still singing country music. What a disgrace to America	0
98	This is a fearful tweet. I want someone who knows im not perfect but stares at me like im the most beautiful girl he's seen	0
99	This is a joyful tweet. Romantic Saturday morning with @XXX getting a free skin cancer screening	0
100	"This is a disgusted tweet. A man rode his bike by as a student was compacting the trash in the dumpster: ""Look at that, they threw away a perfectly good white boy!"""	0
101	This is a disgusted tweet. Bro code 101: If your friend does something gay, let him know you think he's gay but allow him to regain your respect.	0
102	This is a sad tweet. Love that I don't work till 5 tomorrow, but hate that I'm drinking alone to celebrate #needfriends	0
103	This is a fearful tweet. LOL Republicans	0
104	This is a fearful tweet. @XXX I had a guy with norco, oxycodone, fentanyl, and 8mg morphine and nothing helped his pain and cussed at me. Not my fault..	0
105	This is a disgusted tweet. pc term for a genderqueer person is actually 'email'	0
106	This is a surprised tweet. Boo you whore!!!!!! But no really. #BooYouWhore #ComeBack #KingSizedFun	0
107	"This is a disgusted tweet. ""Anal tongue dart""- Papa Sheldon"	0
108	This is a disgusted tweet. I think I'ma try to get someone to pour jack Daniels in my 40 tonight	0
109	This is a sad tweet. i love feeling like an outcast in my class... #itsgreat	0
110	This is a surprised tweet. Wow you would think that people at church wouldn't talk crap behind you back. But apparently that's not true	0
111	"This is a fearful tweet. Can we just start Congress over from scratch? These people are idiots. Actually idiots look at Congress and think, ""these people are idiots"""	0
112	This is a fearful tweet. @XXX sounds pretty good! Maybe you should just text me so @XXX doesn't get angry...	0
113	This is a fearful tweet. LOL ABOUT TO PASS OUT LOL	0
114	"This is a disgusted tweet. ""@XXX: Why I'm Single:  Too Ugly,   Not Funny,   Dick is too big, Might kill someone."" Story of my life "	0
115	This is a angry tweet. @XXX calm down bro	0
116	This is a fearful tweet. Feeling the sting of pain or death is a que to start worshipping immediately, seeking Him with all your hurt, with all you've got!	0
117	This is a joyful tweet. Mom's weekend at SAE! Let's get weird!	0
118	This is a fearful tweet. @XXX just sent in my info to perform for old people to aid in an eagle project. If you know me at all, so much of this is wrong.	0
119	This is a sad tweet. True life: my dog only barks at black people	0
120	"This is a fearful tweet. Interview tomorrow! I wonder if it will be anything like one with Dr Mario. ""So..Dr...Mario...where did you get your MD from?"""	0
121	This is a disgusted tweet. Friend requested my hot GTA on Facebook. I'm a moron	0
122	This is a joyful tweet. I love taking my precious naps with my kids! :-)	0
123	"This is a disgusted tweet. ""@XXX: when girls call their boyfriends ""daddy"" I just want to vomit all over their existence"" @XXX"	0
124	This is a surprised tweet. Dexter fowler just hit a dick!! #HUGEinning three run shot!	0
125	This is a joyful tweet. @XXX @XXX @XXX @XXX @XXX dam straight :)	0
126	This is a joyful tweet. Your place, well order Chinese food, you'll pick out a movie (artsy, but accessible), light petting but no coitus. Sounds like fun! #bbt	0
127	This is a joyful tweet. Bang me again @XXX  u were so good last time	0
128	This is a fearful tweet. @XXX girl. You watching this?	0
129	This is a sad tweet. This Valentines Day actually hasnt been too bad...but i still want the day to be over #ope #anormaltuesday	0
130	This is a sad tweet. Is it just me or do the ugly hoes on insta never tag they cute friend...	0
131	This is a joyful tweet. @XXX bro say goodbye to poverty	0
132	This is a joyful tweet. I hate Iowa State, but I LOVE an eleventh straight Big 12 championship.	0
133	This is a sad tweet. Haha we had a few blunt parties in Florida! Shit was soo damn funny that's all I remember hahaha I was stuck for like two days	0
134	This is a surprised tweet. Madison straight falling on her butt in the middle of target #DayMade	0
135	This is a sad tweet. Up up and away. Im so high ill be down in a couple of days.	0
136	This is a disgusted tweet. You were such a waste of time.	0
137	This is a disgusted tweet. Also, there is a bum walking around with his WHOLE ASS hanging out and in pretty sure he shit his pants. #bumlife	0
